Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.43,644154,Çelebi (Kırıkkale),39.47583,33.49,10,ML,1.3,Türkiye,Kırıkkale,Çelebi,Barbaros,11/26/2024 10:20:50 AM,False,
0.15,644245,Bahşili (Kırıkkale),39.68694,33.34528,6.89,ML,1,Türkiye,Kırıkkale,Bahşili,Küreboğazı,11/27/2024 12:50:34 AM,False,
0.1,644387,Bala (Ankara),39.32833,33.40972,7,ML,1.1,Türkiye,Ankara,Bala,Küçükcamili,11/28/2024 8:47:34 AM,False,
0.22,644469,Yahşihan (Kırıkkale),39.7925,33.3425,7.64,ML,2.2,Türkiye,Kırıkkale,Yahşihan,Bedesten,11/29/2024 10:26:08 AM,False,
0.42,644573,Orta (Çankırı),40.53389,33.00417,7,ML,1,Türkiye,Çankırı,Orta,Tutmaçbayındır,11/30/2024 11:23:48 AM,False,
0.27,644579,Merkez (Kırıkkale),40.00472,33.56083,3.91,ML,1,Türkiye,Kırıkkale,Merkez,Keçili,11/30/2024 1:00:48 PM,False,
0.22,644585,Çankaya (Ankara),39.83944,32.96333,4.82,ML,0.9,Türkiye,Ankara,Çankaya,Yakupabdal,11/30/2024 2:25:01 PM,False,
0.37,644603,Çerkeş (Çankırı),40.73694,32.85472,10.79,ML,2.1,Türkiye,Çankırı,Çerkeş,Ömerler,12/1/2024 12:06:35 AM,False,
0.49,644610,Çerkeş (Çankırı),40.74361,32.87611,10.92,ML,2.2,Türkiye,Çankırı,Çerkeş,Örenköy,12/1/2024 12:36:13 AM,False,
0.26,644620,Çerkeş (Çankırı),40.73,32.86528,9.76,ML,1.3,Türkiye,Çankırı,Çerkeş,Yakuplar,12/1/2024 2:18:51 AM,False,
0.57,644741,Çubuk (Ankara),40.16056,32.91722,7,ML,1.5,Türkiye,Ankara,Çubuk,İkipınar,12/2/2024 11:21:50 AM,False,
0.31,644789,Ilgaz (Çankırı),40.82167,33.55917,7,ML,1.4,Türkiye,Çankırı,Ilgaz,Ericek,12/2/2024 10:29:17 PM,False,
0.3,644822,Ilgaz (Çankırı),40.78722,33.63639,6.06,ML,1.7,Türkiye,Çankırı,Ilgaz,Ahlat,12/3/2024 2:26:53 AM,False,
0.36,644837,Ilgaz (Çankırı),40.7925,33.65806,7,ML,1.5,Türkiye,Çankırı,Ilgaz,Dereçatı,12/3/2024 9:00:24 AM,False,
0.13,644847,Haymana (Ankara),39.16417,32.85,7,ML,1.4,Türkiye,Ankara,Haymana,Kırkpınar,12/3/2024 9:59:43 AM,False,
0.56,644850,Eskipazar (Karabük),40.92278,32.62111,13.33,ML,1.1,Türkiye,Karabük,Eskipazar,Boncuklar,12/3/2024 10:28:12 AM,False,
0.31,644872,Çerkeş (Çankırı),40.73639,32.855,6.2,ML,2.4,Türkiye,Çankırı,Çerkeş,Ömerler,12/3/2024 2:46:57 PM,True,12/3/2024 3:25:04 PM
0.34,644882,Merkez (Çankırı),40.76389,33.61028,6.02,ML,1.6,Türkiye,Çankırı,Merkez,Ahlat,12/3/2024 5:22:25 PM,False,
0.49,644983,Merkez (Çankırı),40.76111,33.63611,7.55,ML,1.1,Türkiye,Çankırı,Merkez,Başeğmez,12/4/2024 11:48:49 AM,False,
0.35,644985,Ilgaz (Çankırı),40.7925,33.62333,7,ML,1.5,Türkiye,Çankırı,Ilgaz,Kıyısın,12/4/2024 1:09:20 PM,False,
0.39,644991,Merkez (Çankırı),40.77,33.64389,6.97,ML,1.4,Türkiye,Çankırı,Merkez,Başeğmez,12/4/2024 3:55:51 PM,False,
0.14,645023,Çelebi (Kırıkkale),39.44639,33.45194,7,ML,1,Türkiye,Kırıkkale,Çelebi,Halildede,12/5/2024 10:10:34 AM,False,
0.32,645024,Çelebi (Kırıkkale),39.47806,33.48917,11.28,ML,1.5,Türkiye,Kırıkkale,Çelebi,Barbaros,12/5/2024 10:14:37 AM,False,
0.44,645041,Bala (Ankara),39.48611,32.91889,11.36,ML,1.5,Türkiye,Ankara,Bala,Ahmetçayırı,12/5/2024 5:06:26 PM,True,12/5/2024 5:42:25 PM
0.49,645105,Elmadağ (Ankara),39.86722,33.1575,7.51,ML,1.1,Türkiye,Ankara,Elmadağ,Tatlıca,12/6/2024 1:03:47 PM,False,
0.68,645318,Çubuk (Ankara),40.17694,32.91528,7.01,ML,1.5,Türkiye,Ankara,Çubuk,Kutuören,12/9/2024 11:26:46 AM,False,
0.33,645428,Çubuk (Ankara),40.53806,32.97694,7,ML,1.2,Türkiye,Ankara,Çubuk,Tutmaçbayındır,12/10/2024 9:36:25 PM,False,
0.27,645481,Mamak (Ankara),39.83194,33.00556,7,ML,1,Türkiye,Ankara,Mamak,Kıbrıs,12/11/2024 3:07:24 PM,False,
0.11,645610,Keskin (Kırıkkale),39.64389,33.72306,6.91,ML,1,Türkiye,Kırıkkale,Keskin,Kaçakköy,12/12/2024 4:40:36 PM,False,
0.2,645725,Çerkeş (Çankırı),40.7925,32.665,7.27,ML,1.2,Türkiye,Çankırı,Çerkeş,Dağlı,12/14/2024 6:17:39 AM,False,
0.21,645743,Çelebi (Kırıkkale),39.47833,33.47611,9.97,ML,2.5,Türkiye,Kırıkkale,Çelebi,Hacıyusuflu,12/14/2024 5:26:01 PM,False,
0.29,645770,Çelebi (Kırıkkale),39.48667,33.485,7,ML,1,Türkiye,Kırıkkale,Çelebi,Hacıyusuflu,12/14/2024 11:00:10 PM,False,
